"child","parent"
"c9fbcafdb64e3a68ae8841bfa7b4a931e20bc31d","c10d1d6a3fee93907b1df6e259136c2f6084fac9"
"c9fbcafdb64e3a68ae8841bfa7b4a931e20bc31d","bf8256c14f70f0940778ff36a41034585d3e5827"
"bf8256c14f70f0940778ff36a41034585d3e5827","c10d1d6a3fee93907b1df6e259136c2f6084fac9"
"c10d1d6a3fee93907b1df6e259136c2f6084fac9","70efeaa4cfd7b9030424a139131b347d55b13d41"
"c10d1d6a3fee93907b1df6e259136c2f6084fac9","340f313fdba86c09882f860f13df6cea3139078b"
"340f313fdba86c09882f860f13df6cea3139078b","70efeaa4cfd7b9030424a139131b347d55b13d41"
"70efeaa4cfd7b9030424a139131b347d55b13d41","06ea47fd3ad5b7a7a74ea3e0428f34d186465a72"
"70efeaa4cfd7b9030424a139131b347d55b13d41","b7f3007605b4df16906d039166e4433e892368a4"
"b7f3007605b4df16906d039166e4433e892368a4","06ea47fd3ad5b7a7a74ea3e0428f34d186465a72"
"06ea47fd3ad5b7a7a74ea3e0428f34d186465a72","255838aa92fc6d5f002a141b3143df443ee31b6b"
"06ea47fd3ad5b7a7a74ea3e0428f34d186465a72","459406247295bba37fa8ec53a60649cab47bb42b"
"459406247295bba37fa8ec53a60649cab47bb42b","255838aa92fc6d5f002a141b3143df443ee31b6b"
"255838aa92fc6d5f002a141b3143df443ee31b6b","838380b9417404428e746877544ce2fe517b425c"
"255838aa92fc6d5f002a141b3143df443ee31b6b","c2092a481e99e22e0dab1c42a21ece7a65f1fe76"
"c2092a481e99e22e0dab1c42a21ece7a65f1fe76","838380b9417404428e746877544ce2fe517b425c"
"838380b9417404428e746877544ce2fe517b425c","b8589636ed12ea2488a2743ac5a3e0cec1eb33a4"
"838380b9417404428e746877544ce2fe517b425c","1b2ddf49e3fa5d5104e15b6bdff335a70a9e0997"
"1b2ddf49e3fa5d5104e15b6bdff335a70a9e0997","b8589636ed12ea2488a2743ac5a3e0cec1eb33a4"
"b8589636ed12ea2488a2743ac5a3e0cec1eb33a4","0956160db02c133e53684ca00a3a2ee1d4cdfc3c"
"b8589636ed12ea2488a2743ac5a3e0cec1eb33a4","7225b45c3b891b8451d02a39824e311917682138"
"7225b45c3b891b8451d02a39824e311917682138","0956160db02c133e53684ca00a3a2ee1d4cdfc3c"
"0956160db02c133e53684ca00a3a2ee1d4cdfc3c","a5039741aa85e86b3e3040771723a6b012055e2e"
"0956160db02c133e53684ca00a3a2ee1d4cdfc3c","9fc7c1fbf1c17aee86425b443a74897698f56b21"
"a5039741aa85e86b3e3040771723a6b012055e2e","390fe4628c0726a0ae6e336526a09fd448d21edf"
"a5039741aa85e86b3e3040771723a6b012055e2e","66654361caf62b2c04e5a1afa179c3ea1e92b042"
"66654361caf62b2c04e5a1afa179c3ea1e92b042","390fe4628c0726a0ae6e336526a09fd448d21edf"
"9fc7c1fbf1c17aee86425b443a74897698f56b21","390fe4628c0726a0ae6e336526a09fd448d21edf"
"390fe4628c0726a0ae6e336526a09fd448d21edf","16ce4f2c18b945f9d5c3f0cc5d8af08361f4f502"
"390fe4628c0726a0ae6e336526a09fd448d21edf","90c0c7a80ea9df3e42d0e021a3b8b6252ddfe3fd"
"16ce4f2c18b945f9d5c3f0cc5d8af08361f4f502","29f893bc6bcb6b8a2f68503a0353b6f7f7e3fe4f"
"16ce4f2c18b945f9d5c3f0cc5d8af08361f4f502","b7e625efdd6a92b9621b9ef1538b70db0d521d0e"
"90c0c7a80ea9df3e42d0e021a3b8b6252ddfe3fd","29f893bc6bcb6b8a2f68503a0353b6f7f7e3fe4f"
"b7e625efdd6a92b9621b9ef1538b70db0d521d0e","29f893bc6bcb6b8a2f68503a0353b6f7f7e3fe4f"
"29f893bc6bcb6b8a2f68503a0353b6f7f7e3fe4f","604c335a969a3f25853e6980c612ce373e900e41"
"29f893bc6bcb6b8a2f68503a0353b6f7f7e3fe4f","7e67782494ad503b4a9ced889b02249957b2c8f9"
"7e67782494ad503b4a9ced889b02249957b2c8f9","6c4eb99a31ac351454e1894df770923019642ccd"
"6c4eb99a31ac351454e1894df770923019642ccd","604c335a969a3f25853e6980c612ce373e900e41"
"604c335a969a3f25853e6980c612ce373e900e41","36b8b1cc0377450d43faa8a0e36e5ca2b5c2198e"
"604c335a969a3f25853e6980c612ce373e900e41","61770a9e38780d313a5323797ca6e92a1c151dd9"
"61770a9e38780d313a5323797ca6e92a1c151dd9","36b8b1cc0377450d43faa8a0e36e5ca2b5c2198e"
"36b8b1cc0377450d43faa8a0e36e5ca2b5c2198e","1fca8ba0a53f178eadbea391f9c2d607cbc770b0"
"36b8b1cc0377450d43faa8a0e36e5ca2b5c2198e","d487b507090fa1c537d81e7ddcaf68a7e1092cdd"
"d487b507090fa1c537d81e7ddcaf68a7e1092cdd","1fca8ba0a53f178eadbea391f9c2d607cbc770b0"
"1fca8ba0a53f178eadbea391f9c2d607cbc770b0","10dc05c642ed716362b1779c7d18580ad61bf7f4"
"1fca8ba0a53f178eadbea391f9c2d607cbc770b0","b05a76580f0110c26ca9c482e1444715c52c9c4f"
"b05a76580f0110c26ca9c482e1444715c52c9c4f","10dc05c642ed716362b1779c7d18580ad61bf7f4"
"10dc05c642ed716362b1779c7d18580ad61bf7f4","cfc6994ee60bff48d887ff8614dd90203e8ae87b"
"10dc05c642ed716362b1779c7d18580ad61bf7f4","1bbdcee0cef2cfef4c9a9ec370bfe01454ed1e25"
"1bbdcee0cef2cfef4c9a9ec370bfe01454ed1e25","cfc6994ee60bff48d887ff8614dd90203e8ae87b"
"cfc6994ee60bff48d887ff8614dd90203e8ae87b","b2fb661a81e7e974542326d1193b0bc5da576879"
"cfc6994ee60bff48d887ff8614dd90203e8ae87b","f6bd196a9f4afd87286d39d773a2ba08fb1d64fc"
"f6bd196a9f4afd87286d39d773a2ba08fb1d64fc","b2fb661a81e7e974542326d1193b0bc5da576879"
"b2fb661a81e7e974542326d1193b0bc5da576879","0be59d3bf83410ac47fb86affef16c6e9fe68196"
"b2fb661a81e7e974542326d1193b0bc5da576879","cef68c175785e63f209606ea83bbee0088d129b1"
"0be59d3bf83410ac47fb86affef16c6e9fe68196","8c6d5d5df7c7bcc04892bf7f07a85d340f375afe"
"0be59d3bf83410ac47fb86affef16c6e9fe68196","ae092b2376591d9bc39e2cfc7ccb60b3ac504abd"
"cef68c175785e63f209606ea83bbee0088d129b1","8c6d5d5df7c7bcc04892bf7f07a85d340f375afe"
"ae092b2376591d9bc39e2cfc7ccb60b3ac504abd","8c6d5d5df7c7bcc04892bf7f07a85d340f375afe"
"8c6d5d5df7c7bcc04892bf7f07a85d340f375afe","85d3e42141a33aefe2fd8a9e17547edecd961456"
"8c6d5d5df7c7bcc04892bf7f07a85d340f375afe","a64aea42b60760ee423af3741312cac1bbd68e8f"
"a64aea42b60760ee423af3741312cac1bbd68e8f","85d3e42141a33aefe2fd8a9e17547edecd961456"
"85d3e42141a33aefe2fd8a9e17547edecd961456","66ce8c05d5d5c93c49ebae3fc40259feeba8e90f"
"85d3e42141a33aefe2fd8a9e17547edecd961456","e968f1e0bbbc55e1f9018cd77227514ac2a61755"
"e968f1e0bbbc55e1f9018cd77227514ac2a61755","f346c4d1ffafb09eec33d6d050fc954705947c10"
"f346c4d1ffafb09eec33d6d050fc954705947c10","30660fdb7355908300c9e915c883d646f8dd6cf6"
"30660fdb7355908300c9e915c883d646f8dd6cf6","66ce8c05d5d5c93c49ebae3fc40259feeba8e90f"
"66ce8c05d5d5c93c49ebae3fc40259feeba8e90f","9b4c9dcd916272e5a9e6be4e4ccebd48ec461c0f"
"66ce8c05d5d5c93c49ebae3fc40259feeba8e90f","0f4992c87ea4dab62c6ce0967dd38e68fd2aea24"
"9b4c9dcd916272e5a9e6be4e4ccebd48ec461c0f","e94eb9c9de89cb0e523e7aa5c7501160d73e3dde"
"9b4c9dcd916272e5a9e6be4e4ccebd48ec461c0f","de1a5388153876b3277bb6d686c82677f4ca6cf9"
"e94eb9c9de89cb0e523e7aa5c7501160d73e3dde","4893578e04e8b3f28b78cfa16471db880c676cca"
"e94eb9c9de89cb0e523e7aa5c7501160d73e3dde","7b0c7481fa55046aaf9ac9e8b8d8ffe0da6283c3"
"0f4992c87ea4dab62c6ce0967dd38e68fd2aea24","4893578e04e8b3f28b78cfa16471db880c676cca"
"de1a5388153876b3277bb6d686c82677f4ca6cf9","4893578e04e8b3f28b78cfa16471db880c676cca"
"7b0c7481fa55046aaf9ac9e8b8d8ffe0da6283c3","4893578e04e8b3f28b78cfa16471db880c676cca"
"4893578e04e8b3f28b78cfa16471db880c676cca","fd29ecca0d3342edb3d6db8c7e05b27770b7403f"
"4893578e04e8b3f28b78cfa16471db880c676cca","76337791b410f11cca228be41a2e9e21612dc498"
"fd29ecca0d3342edb3d6db8c7e05b27770b7403f","201e64871b303c33a2a3e5bd596f1051bc8e0c96"
"fd29ecca0d3342edb3d6db8c7e05b27770b7403f","8d8dc63250c467a9730377a5e064b139edc29c18"
"201e64871b303c33a2a3e5bd596f1051bc8e0c96","477bddc22024f5019a0c0251d3d010f88e75da1e"
"201e64871b303c33a2a3e5bd596f1051bc8e0c96","424408f34f47c72545111bae3376314bc2c92eee"
"477bddc22024f5019a0c0251d3d010f88e75da1e","7fd68ffb77b77ecd06d9bc600cb55037740f1f4f"
"477bddc22024f5019a0c0251d3d010f88e75da1e","e5252b800a1a50e56bf485f25930dcf1f09e0103"
"7fd68ffb77b77ecd06d9bc600cb55037740f1f4f","617e1e360db189b313534126a31cf6ad79019870"
"7fd68ffb77b77ecd06d9bc600cb55037740f1f4f","e6780062303e83415aa8809f188e75b318a7a8c9"
"8d8dc63250c467a9730377a5e064b139edc29c18","817c915f98dc917781d631bc52dab9816e97511d"
"e6780062303e83415aa8809f188e75b318a7a8c9","617e1e360db189b313534126a31cf6ad79019870"
"e5252b800a1a50e56bf485f25930dcf1f09e0103","817c915f98dc917781d631bc52dab9816e97511d"
"76337791b410f11cca228be41a2e9e21612dc498","817c915f98dc917781d631bc52dab9816e97511d"
"424408f34f47c72545111bae3376314bc2c92eee","5f0d9efc9b916e9c4842c9a4dc27af71a754c2c4"
"617e1e360db189b313534126a31cf6ad79019870","817c915f98dc917781d631bc52dab9816e97511d"
"617e1e360db189b313534126a31cf6ad79019870","5f0d9efc9b916e9c4842c9a4dc27af71a754c2c4"
