"child","parent"
"0b81095d5c216216d1e9012f3589a97553cb771f","c0b89508c120fcbd9171ffdadff4e9d8959d5952"
"0b81095d5c216216d1e9012f3589a97553cb771f","b15edb7eebcf9311eb29b057c077c276b2b9aa69"
"b15edb7eebcf9311eb29b057c077c276b2b9aa69","2f2dd2623b224f180256028926af7d92dc268f14"
"2f2dd2623b224f180256028926af7d92dc268f14","eff701958eb679f7ecf7a02450f9d30fe557fee4"
"eff701958eb679f7ecf7a02450f9d30fe557fee4","031a74b6e08f2424ee904488af65e9fe77359cd6"
"eff701958eb679f7ecf7a02450f9d30fe557fee4","c0b89508c120fcbd9171ffdadff4e9d8959d5952"
"c0b89508c120fcbd9171ffdadff4e9d8959d5952","fa696ead4d908b8bd9403469881fe7cace89e23c"
"c0b89508c120fcbd9171ffdadff4e9d8959d5952","ccaaa60085cde0661b4d383fe0e7cf7cbd099310"
"ccaaa60085cde0661b4d383fe0e7cf7cbd099310","fa696ead4d908b8bd9403469881fe7cace89e23c"
"031a74b6e08f2424ee904488af65e9fe77359cd6","3053bb38433b9832dd9f60112069a7b13d41797c"
"3053bb38433b9832dd9f60112069a7b13d41797c","dd791c231b965807c006298e50a12f9c713a527d"
"dd791c231b965807c006298e50a12f9c713a527d","3ba64f859ea2cefbaaf76dd48a8d3354cec5eefe"
"3ba64f859ea2cefbaaf76dd48a8d3354cec5eefe","0781b87f1b249bd29db60db1ec9febd40e060946"
"0781b87f1b249bd29db60db1ec9febd40e060946","9672b197a754a1dc5ba8bceb67f5e3a291651558"
"9672b197a754a1dc5ba8bceb67f5e3a291651558","b4711d21bbd18919876a477fd512ea1fd16f9bc9"
"b4711d21bbd18919876a477fd512ea1fd16f9bc9","fa696ead4d908b8bd9403469881fe7cace89e23c"
"fa696ead4d908b8bd9403469881fe7cace89e23c","b8973fdf7100e5b1b9ca78fd6fac29688d8b21c7"
"fa696ead4d908b8bd9403469881fe7cace89e23c","a824855fa8f50a90fc45188fa08a0e2fd7c0d7af"
"a824855fa8f50a90fc45188fa08a0e2fd7c0d7af","b75a38cdf05a40116e55eff102a10b9d05e135bd"
"b8973fdf7100e5b1b9ca78fd6fac29688d8b21c7","16666b84d3fb3a6e55c8ccf6143b951c33e125a1"
"b75a38cdf05a40116e55eff102a10b9d05e135bd","16666b84d3fb3a6e55c8ccf6143b951c33e125a1"
"b75a38cdf05a40116e55eff102a10b9d05e135bd","c5ed138869a7a8cf68ffd3f46f7b014f2bb45080"
"16666b84d3fb3a6e55c8ccf6143b951c33e125a1","f978437477065831d7dddaf385c36303bfc141a8"
"16666b84d3fb3a6e55c8ccf6143b951c33e125a1","9cb9ce40d770fb4c144e540b6914c2eb3090cad3"
"9cb9ce40d770fb4c144e540b6914c2eb3090cad3","9d7bef14b87a7260db03ee87e7df049264a53cfb"
"9d7bef14b87a7260db03ee87e7df049264a53cfb","f978437477065831d7dddaf385c36303bfc141a8"
"9d7bef14b87a7260db03ee87e7df049264a53cfb","1c66cc0aa840b2ffc9d8b24aad2ea155c00f4677"
"f978437477065831d7dddaf385c36303bfc141a8","78179526f0524207307dd4635e940a115ffb303f"
"f978437477065831d7dddaf385c36303bfc141a8","a4e0d6814d890975b5634edf90de202c00360eaf"
"a4e0d6814d890975b5634edf90de202c00360eaf","78179526f0524207307dd4635e940a115ffb303f"
"78179526f0524207307dd4635e940a115ffb303f","ad662a52334e6ec69221e36e9f37ed2676c0ae91"
"78179526f0524207307dd4635e940a115ffb303f","890adf7f5d4732bc7d1ed5599ee8aa94131fd706"
"890adf7f5d4732bc7d1ed5599ee8aa94131fd706","ad662a52334e6ec69221e36e9f37ed2676c0ae91"
"c5ed138869a7a8cf68ffd3f46f7b014f2bb45080","ad662a52334e6ec69221e36e9f37ed2676c0ae91"
"1c66cc0aa840b2ffc9d8b24aad2ea155c00f4677","ad662a52334e6ec69221e36e9f37ed2676c0ae91"
"ad662a52334e6ec69221e36e9f37ed2676c0ae91","85979ee32b11ce85abf02f87703326f4aa03b382"
"ad662a52334e6ec69221e36e9f37ed2676c0ae91","fcc8ea56ef21ecf48d0e3f8fb4e3e54a3851128b"
"fcc8ea56ef21ecf48d0e3f8fb4e3e54a3851128b","9ed3c30426e8bb7ee5c9aadef839e2b016ad24c9"
"9ed3c30426e8bb7ee5c9aadef839e2b016ad24c9","85979ee32b11ce85abf02f87703326f4aa03b382"
"9ed3c30426e8bb7ee5c9aadef839e2b016ad24c9","b3e8b587be101a6d71a703fafd47fec80feb3d42"
"85979ee32b11ce85abf02f87703326f4aa03b382","bbd0d2cb936cdcbcfbd357f00eb0e87b90d1d08e"
"85979ee32b11ce85abf02f87703326f4aa03b382","e7bd81e928ae3084287b89f01be0ff48b6ce84dd"
"bbd0d2cb936cdcbcfbd357f00eb0e87b90d1d08e","fb7ee411d9ab3837ee40a5eaa5ddff2a15c173f0"
"fb7ee411d9ab3837ee40a5eaa5ddff2a15c173f0","159c4eb89c24a68309f0c796f9e0908a69e26c31"
"fb7ee411d9ab3837ee40a5eaa5ddff2a15c173f0","04140957c4e9f21f2b382b3d90025f30e8b96e8b"
"04140957c4e9f21f2b382b3d90025f30e8b96e8b","159c4eb89c24a68309f0c796f9e0908a69e26c31"
"04140957c4e9f21f2b382b3d90025f30e8b96e8b","269f5467bc2ac8c84503de333485efb38f39c12a"
"159c4eb89c24a68309f0c796f9e0908a69e26c31","cc3f45330980398928390092fcee8bbd770b9fea"
"159c4eb89c24a68309f0c796f9e0908a69e26c31","ef737f93ed8493fb58c24ccce2915fe76c347a7c"
"cc3f45330980398928390092fcee8bbd770b9fea","e88ca118d13765195236f507683692b85644a758"
"cc3f45330980398928390092fcee8bbd770b9fea","5abc4d9de284059b65aee284a39b9a41e7f6d2b2"
"ef737f93ed8493fb58c24ccce2915fe76c347a7c","e88ca118d13765195236f507683692b85644a758"
"ef737f93ed8493fb58c24ccce2915fe76c347a7c","9de4bccb513a097a04b5ef522c040ca135639f90"
"e88ca118d13765195236f507683692b85644a758","bc668092326c4f114fd3586d67c5e6793a2715e5"
"5abc4d9de284059b65aee284a39b9a41e7f6d2b2","bc668092326c4f114fd3586d67c5e6793a2715e5"
"e7bd81e928ae3084287b89f01be0ff48b6ce84dd","bc668092326c4f114fd3586d67c5e6793a2715e5"
"bc668092326c4f114fd3586d67c5e6793a2715e5","698d9a2ea342e391e8c09c80ced72cf0bd8d5069"
"b3e8b587be101a6d71a703fafd47fec80feb3d42","698d9a2ea342e391e8c09c80ced72cf0bd8d5069"
"269f5467bc2ac8c84503de333485efb38f39c12a","698d9a2ea342e391e8c09c80ced72cf0bd8d5069"
"9de4bccb513a097a04b5ef522c040ca135639f90","698d9a2ea342e391e8c09c80ced72cf0bd8d5069"
"698d9a2ea342e391e8c09c80ced72cf0bd8d5069","06e2151f2538c91ec2edab0322822ed852d3d036"
"06e2151f2538c91ec2edab0322822ed852d3d036","ddcb08fcda77c5008ff113bdb2756133be6cd739"
"06e2151f2538c91ec2edab0322822ed852d3d036","30c296d0fb470d480798b322b00c9e02cf0890d4"
"ddcb08fcda77c5008ff113bdb2756133be6cd739","e93fa8a08f4e87fe22dd193dbd5a7fcd2595c9f3"
"ddcb08fcda77c5008ff113bdb2756133be6cd739","a5b9d0d5059b1e55c310488ae13fc9c86875508e"
"a5b9d0d5059b1e55c310488ae13fc9c86875508e","e93fa8a08f4e87fe22dd193dbd5a7fcd2595c9f3"
"a5b9d0d5059b1e55c310488ae13fc9c86875508e","8446e51a2be99a519d075b5a4b58eebfc483791f"
"e93fa8a08f4e87fe22dd193dbd5a7fcd2595c9f3","c41cc8b66e704dcad1006b045f77c27eedbc66a6"
"e93fa8a08f4e87fe22dd193dbd5a7fcd2595c9f3","7678d992499ae932ab848fed7529b7bdb15d5c27"
"30c296d0fb470d480798b322b00c9e02cf0890d4","c41cc8b66e704dcad1006b045f77c27eedbc66a6"
"8446e51a2be99a519d075b5a4b58eebfc483791f","7d2e4b8bf85b5f4328a4eaac6a632ea53bfb5d6c"
"7d2e4b8bf85b5f4328a4eaac6a632ea53bfb5d6c","ebdcc7515a54c47db12163ca21daaa6f4f75ddaf"
"ebdcc7515a54c47db12163ca21daaa6f4f75ddaf","c41cc8b66e704dcad1006b045f77c27eedbc66a6"
"7678d992499ae932ab848fed7529b7bdb15d5c27","08242b19ba340d73097bdfc0f08754314befeedd"
"08242b19ba340d73097bdfc0f08754314befeedd","f61032362e6cd823fa08b221cb112b35315b7223"
"f61032362e6cd823fa08b221cb112b35315b7223","c41cc8b66e704dcad1006b045f77c27eedbc66a6"
"c41cc8b66e704dcad1006b045f77c27eedbc66a6","ea8a21ee04dcf2c934f9beba6e6c9938d15ce6fe"
"c41cc8b66e704dcad1006b045f77c27eedbc66a6","d4c56c5cb519608177b0a3db9d5d511aba83ca2d"
"d4c56c5cb519608177b0a3db9d5d511aba83ca2d","ea8a21ee04dcf2c934f9beba6e6c9938d15ce6fe"
"ea8a21ee04dcf2c934f9beba6e6c9938d15ce6fe","c3fa32f3a9592703526cfb9b6f9210c4832beeb7"
