"child","parent"
"2a464a261371337519892f7051b57bef84ceebf4","05acba737706989ca4a2c757692f4603c1267187"
"2a464a261371337519892f7051b57bef84ceebf4","b78a79e40c0777d7cefeca21d7291e8221b3a05b"
"05acba737706989ca4a2c757692f4603c1267187","32c44ec48169f13de369d5a62a0dfd9ea5178f91"
"b78a79e40c0777d7cefeca21d7291e8221b3a05b","32c44ec48169f13de369d5a62a0dfd9ea5178f91"
"b78a79e40c0777d7cefeca21d7291e8221b3a05b","7c92c540b8c0db46db7834ad47ef4cbbd3fe660e"
"7c92c540b8c0db46db7834ad47ef4cbbd3fe660e","32c44ec48169f13de369d5a62a0dfd9ea5178f91"
"32c44ec48169f13de369d5a62a0dfd9ea5178f91","b54e916a5f177b4e79a7d1fb07b0e4b0953268e6"
"b54e916a5f177b4e79a7d1fb07b0e4b0953268e6","8e7258883bb22feae5d7f26d3b0a9cc963e3fd17"
"8e7258883bb22feae5d7f26d3b0a9cc963e3fd17","37647f184d63b354c572668e61cdf719cf2c49ab"
"37647f184d63b354c572668e61cdf719cf2c49ab","59696ba378b430f2a57054d18ea4de55fd3f0f67"
"59696ba378b430f2a57054d18ea4de55fd3f0f67","fd18ee51cb3d0337cc2ec54094d1202ed13823ff"
"fd18ee51cb3d0337cc2ec54094d1202ed13823ff","ce245a1aa326e831a9d7c9784526d4c0db7d6f59"
"ce245a1aa326e831a9d7c9784526d4c0db7d6f59","0b9548fbb6d18198ac0d5344eb1f7acc404ac7fd"
"0b9548fbb6d18198ac0d5344eb1f7acc404ac7fd","a82b96bfaab944c36f209c981edcf639bf10bda6"
"0b9548fbb6d18198ac0d5344eb1f7acc404ac7fd","2c5c8eed21634e0dcc8c7e76ad1f81fbe9793dac"
"2c5c8eed21634e0dcc8c7e76ad1f81fbe9793dac","091daa89d81b15229d816424dd255bfd590417f1"
"a82b96bfaab944c36f209c981edcf639bf10bda6","091daa89d81b15229d816424dd255bfd590417f1"
"091daa89d81b15229d816424dd255bfd590417f1","9d35906e3b65622478e523b54c81201e572ce8bb"
"9d35906e3b65622478e523b54c81201e572ce8bb","e8a32d9474beecf2e80f51d86e848e0008dbf3fc"
"e8a32d9474beecf2e80f51d86e848e0008dbf3fc","b0ad4c71430fb5c5616982c62e9beec3f3946962"
"b0ad4c71430fb5c5616982c62e9beec3f3946962","a12ab98468b4f2bf7cb3069cc512319976163f38"
"a12ab98468b4f2bf7cb3069cc512319976163f38","f42fcc31719ae54385ac3704607c8d43d7d33938"
"a12ab98468b4f2bf7cb3069cc512319976163f38","ebf2a5e531bb7ae9cb675c125ca5c8fc1b80e6de"
"f42fcc31719ae54385ac3704607c8d43d7d33938","ebca0c8959740012a11f1b31e6579e8309e29d72"
"ebca0c8959740012a11f1b31e6579e8309e29d72","8404d41d5313bd8292fabd5ec23617fd55dbbfbd"
"8404d41d5313bd8292fabd5ec23617fd55dbbfbd","edc448edc65e7b7696f34ab4dfbaeb4d490983ee"
"edc448edc65e7b7696f34ab4dfbaeb4d490983ee","9ac9c85aa42a4bd0e9c4da83c8630c1698c202c1"
"9ac9c85aa42a4bd0e9c4da83c8630c1698c202c1","bec92a3f032df9bb1a691a7dc2dfeb61a558e073"
"bec92a3f032df9bb1a691a7dc2dfeb61a558e073","d9d81ee4a940ffbd317ac1220c224dd5162bb52e"
"ebf2a5e531bb7ae9cb675c125ca5c8fc1b80e6de","d9d81ee4a940ffbd317ac1220c224dd5162bb52e"
"d9d81ee4a940ffbd317ac1220c224dd5162bb52e","1c5b235a87e6ef32bb7b7f84a8079ae4d8ef39f7"
"d9d81ee4a940ffbd317ac1220c224dd5162bb52e","e3eaea4c988ac05d33619369caf2545a8e1c34d1"
"1c5b235a87e6ef32bb7b7f84a8079ae4d8ef39f7","1cc955c2fb71c1752b17bb65474df96c13acbefb"
"1cc955c2fb71c1752b17bb65474df96c13acbefb","b82014e669bcd72c70c53aef3fdba1dd10bff5d0"
"e3eaea4c988ac05d33619369caf2545a8e1c34d1","b82014e669bcd72c70c53aef3fdba1dd10bff5d0"
"e3eaea4c988ac05d33619369caf2545a8e1c34d1","98a85766d419deddb0831399b87bab88410b8ccb"
"98a85766d419deddb0831399b87bab88410b8ccb","b82014e669bcd72c70c53aef3fdba1dd10bff5d0"
"b82014e669bcd72c70c53aef3fdba1dd10bff5d0","0f0af1c50f81107c04088a158a1e80ae8599bca5"
"b82014e669bcd72c70c53aef3fdba1dd10bff5d0","932911121abf1cb440473be88ee504351de708e5"
"932911121abf1cb440473be88ee504351de708e5","ccf65b94845b482c3fb8d24588876ca8c81198db"
"932911121abf1cb440473be88ee504351de708e5","915944c26a89a92883cf69e66b667a3359928bcf"
"0f0af1c50f81107c04088a158a1e80ae8599bca5","338ab8fb3b52346bafcb9d80c1c2387ae3a1fcb0"
"0f0af1c50f81107c04088a158a1e80ae8599bca5","ccf65b94845b482c3fb8d24588876ca8c81198db"
"338ab8fb3b52346bafcb9d80c1c2387ae3a1fcb0","a48dadc1a02b0802c26829dcb57f7fcc1afcb9b3"
"a48dadc1a02b0802c26829dcb57f7fcc1afcb9b3","7390948be8a4004555e4088428e774c328e36bed"
"7390948be8a4004555e4088428e774c328e36bed","9abd24322ad9394a6de67e5f3233fddb9f5292f8"
"ccf65b94845b482c3fb8d24588876ca8c81198db","0bf7483657a08208e044a6b7085009304ceddbc9"
"ccf65b94845b482c3fb8d24588876ca8c81198db","9ce3178df133d3bf7d01744087f6fbe96006a226"
"9ce3178df133d3bf7d01744087f6fbe96006a226","0bf7483657a08208e044a6b7085009304ceddbc9"
"9abd24322ad9394a6de67e5f3233fddb9f5292f8","0bf7483657a08208e044a6b7085009304ceddbc9"
"915944c26a89a92883cf69e66b667a3359928bcf","0bf7483657a08208e044a6b7085009304ceddbc9"
"0bf7483657a08208e044a6b7085009304ceddbc9","02b0a227479fd1e494484e5bca902e55a165bf34"
"02b0a227479fd1e494484e5bca902e55a165bf34","a8d45427e0c640a29802d842d5333b64de018e9d"
"a8d45427e0c640a29802d842d5333b64de018e9d","4a71828a32edd22728323a9ce8b9df4aa774e391"
"4a71828a32edd22728323a9ce8b9df4aa774e391","c8493d777ff15ef1b22bfa9bc606c9c2bf95a36f"
"4a71828a32edd22728323a9ce8b9df4aa774e391","4f4292bac7a7ba07e368a0cab0f146371df576e5"
"4f4292bac7a7ba07e368a0cab0f146371df576e5","c8493d777ff15ef1b22bfa9bc606c9c2bf95a36f"
"c8493d777ff15ef1b22bfa9bc606c9c2bf95a36f","259fda823f38a014db8eadb41df1c3337f173379"
"259fda823f38a014db8eadb41df1c3337f173379","75bfaec722077257dd137dc46c378ee59365073a"
"75bfaec722077257dd137dc46c378ee59365073a","cc9335dd623b587207b5df0de9dee6dbeccf2f9a"
"cc9335dd623b587207b5df0de9dee6dbeccf2f9a","a89b81e701499d6974da98373a3b3c48c8a03488"
"cc9335dd623b587207b5df0de9dee6dbeccf2f9a","e0c94d34a304098a19964d43b4d36306cd243804"
"e0c94d34a304098a19964d43b4d36306cd243804","48faffb8160bbe5ea6e18587af10c15acf12af87"
"a89b81e701499d6974da98373a3b3c48c8a03488","bdd0741354d792c859912ef00a3af101982d967b"
"bdd0741354d792c859912ef00a3af101982d967b","abcab71879b424ebaf3208e297e23f7ddb73100d"
"48faffb8160bbe5ea6e18587af10c15acf12af87","6796dfaadd8e512c4ba738be9428112b9bc050e0"
"6796dfaadd8e512c4ba738be9428112b9bc050e0","977738461330c6aa5292207caa5653b594ffa93a"
"977738461330c6aa5292207caa5653b594ffa93a","5f686539bf636fb6d4587d4d9bf6353f00f4d73f"
"977738461330c6aa5292207caa5653b594ffa93a","abcab71879b424ebaf3208e297e23f7ddb73100d"
"abcab71879b424ebaf3208e297e23f7ddb73100d","67caa8267101395ffa030ba202db0b85c2d19cfd"
"5f686539bf636fb6d4587d4d9bf6353f00f4d73f","67caa8267101395ffa030ba202db0b85c2d19cfd"
"67caa8267101395ffa030ba202db0b85c2d19cfd","39555a855466ed25a3893d9975521f260d6dc471"
