"child","parent"
"490d5c908a70204111f064e6177e82a5e0a5c63c","33b4af3b5c225f14fd769f5ce64c72c4f31f5c95"
"33b4af3b5c225f14fd769f5ce64c72c4f31f5c95","802b73edc6b6d8902d3f73a5c4244038b9a0c339"
"802b73edc6b6d8902d3f73a5c4244038b9a0c339","952e8820ea639dcec0f4c8dbb88674e2389da342"
"952e8820ea639dcec0f4c8dbb88674e2389da342","e05fb7018ed30e35fabbecb24b60c821a3d8717f"
"e05fb7018ed30e35fabbecb24b60c821a3d8717f","8c5d34fda0d1ea16b26decabe800f3b79fa6d4da"
"8c5d34fda0d1ea16b26decabe800f3b79fa6d4da","71860ee5889a728ab971ee9de91f5fed1bd63f33"
"8c5d34fda0d1ea16b26decabe800f3b79fa6d4da","3681914b07aa4de30425e8626d3f337c0ccba758"
"3681914b07aa4de30425e8626d3f337c0ccba758","cbb56a32f942561a378ad3902e47a059d9813115"
"cbb56a32f942561a378ad3902e47a059d9813115","71860ee5889a728ab971ee9de91f5fed1bd63f33"
"71860ee5889a728ab971ee9de91f5fed1bd63f33","4b723d7cd9285616b2703753b566074550419110"
"71860ee5889a728ab971ee9de91f5fed1bd63f33","c065db0a45a75b5a55b1f3a1a2b30e4a1b281920"
"c065db0a45a75b5a55b1f3a1a2b30e4a1b281920","3d86ccd5b580dfc93bc391dd26331b1a79f71196"
"3d86ccd5b580dfc93bc391dd26331b1a79f71196","92b2e225e2529d5f7f725a67757c862247e8d358"
"92b2e225e2529d5f7f725a67757c862247e8d358","bf8c3b2d93e711d71e596de243aaed5483c595e8"
"bf8c3b2d93e711d71e596de243aaed5483c595e8","eabddf14eb3fa434680152f63aaa01a2264f26a9"
"4b723d7cd9285616b2703753b566074550419110","abbc29e429cf3e464336327fb319cafbb2aa34f9"
"4b723d7cd9285616b2703753b566074550419110","dbe1fc542d378832ac4ccb9b091d153c540e7f9a"
"dbe1fc542d378832ac4ccb9b091d153c540e7f9a","57613c92dee1012559231129756e6dbf88f4361d"
"abbc29e429cf3e464336327fb319cafbb2aa34f9","1bd009c3ad020747fc31fc784c750ff13cc4c830"
"abbc29e429cf3e464336327fb319cafbb2aa34f9","80809350e81bd88d8b08a514021eb3251a5dcd07"
"1bd009c3ad020747fc31fc784c750ff13cc4c830","edfd15180cbbf4e64240b389913478cbc4ea04de"
"eabddf14eb3fa434680152f63aaa01a2264f26a9","edfd15180cbbf4e64240b389913478cbc4ea04de"
"80809350e81bd88d8b08a514021eb3251a5dcd07","edfd15180cbbf4e64240b389913478cbc4ea04de"
"57613c92dee1012559231129756e6dbf88f4361d","924edae044ea777d1853170602e65c59b23d9d21"
"924edae044ea777d1853170602e65c59b23d9d21","edfd15180cbbf4e64240b389913478cbc4ea04de"
"edfd15180cbbf4e64240b389913478cbc4ea04de","2d0bc4a66368015bbddbd45572174f1e9817b91e"
"2d0bc4a66368015bbddbd45572174f1e9817b91e","a35d667b9c2b5f11419ccf9876b93bd41bd28d35"
"a35d667b9c2b5f11419ccf9876b93bd41bd28d35","cfefc5f5c4024f00d7f0d7a8c8839831fcf32bda"
"cfefc5f5c4024f00d7f0d7a8c8839831fcf32bda","a1039869ffdb0fd8f84a078aa65626290883abd4"
"a1039869ffdb0fd8f84a078aa65626290883abd4","14ba66bc02df7fe07df8d6eca25a308022551243"
"14ba66bc02df7fe07df8d6eca25a308022551243","49e6bfb674675fdd46ceed1e70487f30dd1f1b88"
"49e6bfb674675fdd46ceed1e70487f30dd1f1b88","986ddba9b0b4a877e09b045950432763a8c06cf3"
"986ddba9b0b4a877e09b045950432763a8c06cf3","8a537add5ac8ca4f1c18fc37149c96e931be171a"
"8a537add5ac8ca4f1c18fc37149c96e931be171a","645cb5b89eea198ce35b48c661084a9fa0e71f1f"
"645cb5b89eea198ce35b48c661084a9fa0e71f1f","4e868f61bafc208900fdc388cfe0286619dc1a58"
"4e868f61bafc208900fdc388cfe0286619dc1a58","71578960a699b5299b68b460bd225f474439b28c"
"71578960a699b5299b68b460bd225f474439b28c","b8ac19d8192df7288d5cd78a37470897637c7f42"
"b8ac19d8192df7288d5cd78a37470897637c7f42","8606abc11acded29ab940358594be868476a6e59"
"8606abc11acded29ab940358594be868476a6e59","320e04ebbf2f1a784bfc721159dcf21a4f2f359a"
"320e04ebbf2f1a784bfc721159dcf21a4f2f359a","4654fb6ff9726fd6688e8a0513fa2480294111ac"
"4654fb6ff9726fd6688e8a0513fa2480294111ac","38e12251525621c85464080b01846f1f66b60ec5"
"38e12251525621c85464080b01846f1f66b60ec5","54b271dff75c09ca49b7ff3d098b32b3c4aa2e39"
"54b271dff75c09ca49b7ff3d098b32b3c4aa2e39","ab611836e025ad5379cb00ae35160cc19afae9f3"
"ab611836e025ad5379cb00ae35160cc19afae9f3","3a262e96b23985c6d6f6be40c7f15e4b53ee9b68"
"3a262e96b23985c6d6f6be40c7f15e4b53ee9b68","a8cb17b290ae7d0af0a2c968635284f7a71cea8b"
"3a262e96b23985c6d6f6be40c7f15e4b53ee9b68","584dcf4d7124dcacdff8fc74519745d9c8a5a84d"
"584dcf4d7124dcacdff8fc74519745d9c8a5a84d","a8cb17b290ae7d0af0a2c968635284f7a71cea8b"
"a8cb17b290ae7d0af0a2c968635284f7a71cea8b","086c9c280f000908a8bebadca6af547eba12c0b9"
"a8cb17b290ae7d0af0a2c968635284f7a71cea8b","0f61f07cef4b068d02716657514a7ea3ee43e3d7"
"0f61f07cef4b068d02716657514a7ea3ee43e3d7","ff0be45094cc073cdeb9b35d04da15c87a968e7d"
