"child","parent"
"a95b83103e6c02db7ac97b207c03242a2a72e0e6","142c185b38c65efbeb67ea3513e90c99d3773691"
"142c185b38c65efbeb67ea3513e90c99d3773691","9555c52c532301f4e81ba26b486d1a6472ef4127"
"9555c52c532301f4e81ba26b486d1a6472ef4127","b9cf2c085088c6f7a3eb41c5459e86850e0a8b0b"
"b9cf2c085088c6f7a3eb41c5459e86850e0a8b0b","450d61d2311f3442e6e72706936b7c6c2b6460fc"
"450d61d2311f3442e6e72706936b7c6c2b6460fc","84a230d8b0d0c315e4326049038e4e8b96c5daca"
"84a230d8b0d0c315e4326049038e4e8b96c5daca","a13a18bd1b4e645f7920020e7b11c5c3947b72b1"
"a13a18bd1b4e645f7920020e7b11c5c3947b72b1","c7ec89619354404c3503384c7db7f3bf841ae33b"
"c7ec89619354404c3503384c7db7f3bf841ae33b","7271b3465af27d8dd6066115c8c492c1baef7c67"
"7271b3465af27d8dd6066115c8c492c1baef7c67","ece284774c786ec82e97ec430f22114a0897c6c4"
"ece284774c786ec82e97ec430f22114a0897c6c4","c5f58e895fad15dd6edf0ad550f74b4bc664607f"
"c5f58e895fad15dd6edf0ad550f74b4bc664607f","cdd3c271d1f7ac7e7cbd57afa3a396197ddfd42f"
"cdd3c271d1f7ac7e7cbd57afa3a396197ddfd42f","08a3a3041747220f2dced833152f3b370287db36"
"08a3a3041747220f2dced833152f3b370287db36","33cdd1c58b8b8510f5d4f0888864a22575e1c22a"
"33cdd1c58b8b8510f5d4f0888864a22575e1c22a","d7f006adb057d3dc91029dae389d28f0bcad2824"
"d7f006adb057d3dc91029dae389d28f0bcad2824","50767b104f7371773f2c56070ac94ab300a09453"
"50767b104f7371773f2c56070ac94ab300a09453","71591c63027fb108987dda7d5c58e93a2a0d6232"
"71591c63027fb108987dda7d5c58e93a2a0d6232","837fd3e39c3d64deb9544e9872d093eda20f23c4"
"837fd3e39c3d64deb9544e9872d093eda20f23c4","5fb121796080926fa59db63f5d08b33497db8eb7"
"5fb121796080926fa59db63f5d08b33497db8eb7","83213cdb181915ca88aea7b0603ed6ee3bd298f7"
"83213cdb181915ca88aea7b0603ed6ee3bd298f7","0ffee2e5dc76abedd043c273f597a9a9e2bc732a"
"0ffee2e5dc76abedd043c273f597a9a9e2bc732a","f025e8827c4592c10416c1891e1ed08566a7a3b0"
"f025e8827c4592c10416c1891e1ed08566a7a3b0","4e8df588b9e31d22efa5da618256c392556ede05"
"4e8df588b9e31d22efa5da618256c392556ede05","68c062f4aff227873d88962c595ee5f2f7b6d643"
"68c062f4aff227873d88962c595ee5f2f7b6d643","a056b266d4d9d0693b199b3326f94f9e40a66289"
"a056b266d4d9d0693b199b3326f94f9e40a66289","de8cd9685e37197bc855ab4a1ac301b2eedc913a"
"de8cd9685e37197bc855ab4a1ac301b2eedc913a","2b0bea97ce62357ab078913efda30cf0078119ef"
"2b0bea97ce62357ab078913efda30cf0078119ef","6cf9434f6d59dceee05b5d5bd8484b6c9d5b1011"
"6cf9434f6d59dceee05b5d5bd8484b6c9d5b1011","4c39148e7e2d09bed4b2bade16c815c13b2eacf1"
"4c39148e7e2d09bed4b2bade16c815c13b2eacf1","d5b0c316b041bffca169bf0d91373a3d45f132e8"
"d5b0c316b041bffca169bf0d91373a3d45f132e8","3e03015ad4f511b4673ee0f76e39bb16137a6de2"
"3e03015ad4f511b4673ee0f76e39bb16137a6de2","5100b0f3eac573e6ce53af042d02905196c886c9"
"5100b0f3eac573e6ce53af042d02905196c886c9","c3c6dedb8bc04879d0b831ae4cfbff26d43fb43e"
"c3c6dedb8bc04879d0b831ae4cfbff26d43fb43e","6d4326b91651bceccdf8f0288480c9a4211d7839"
"6d4326b91651bceccdf8f0288480c9a4211d7839","27044d98488928329fe48c78472ac7294c88e58c"
"27044d98488928329fe48c78472ac7294c88e58c","b539553e91da723e1c1db68d690f84a798bd90a1"
"b539553e91da723e1c1db68d690f84a798bd90a1","fca60ef1d8a2c736b3e20479d0977e6853864096"
"fca60ef1d8a2c736b3e20479d0977e6853864096","42e3d97e91ad1d3a53206080d1e20ed88964223b"
"42e3d97e91ad1d3a53206080d1e20ed88964223b","e5c1409a344b72693b8bb0ca0ef781605d061c4e"
"e5c1409a344b72693b8bb0ca0ef781605d061c4e","0e96a299184c01fcd14ca2f69197be34e774f22e"
"e5c1409a344b72693b8bb0ca0ef781605d061c4e","d293807271265846e6594bb4ba809e78d32a20b3"
"0e96a299184c01fcd14ca2f69197be34e774f22e","2fd5a69a35264de865898314fa72119426ae3282"
"d293807271265846e6594bb4ba809e78d32a20b3","2fd5a69a35264de865898314fa72119426ae3282"
"2fd5a69a35264de865898314fa72119426ae3282","c78bcc3a1f2ca1fd1f1746a084dd0f5639d0ae09"
"c78bcc3a1f2ca1fd1f1746a084dd0f5639d0ae09","fe475aae0c24766804f5f785c3353720639bdfa6"
"fe475aae0c24766804f5f785c3353720639bdfa6","71aea5352bf07b27f5b8f991b46c4aa3d0b70554"
"71aea5352bf07b27f5b8f991b46c4aa3d0b70554","47f7f2f60a8a0b9d0b4a740744cce0abfda9bcbe"
"47f7f2f60a8a0b9d0b4a740744cce0abfda9bcbe","c0d8a9db311d9dd73bbb126c0aeec5aa801d20d0"
"c0d8a9db311d9dd73bbb126c0aeec5aa801d20d0","68a1629d6648eef207bca33881357c69d0fefbc5"
"68a1629d6648eef207bca33881357c69d0fefbc5","1f2381ac277974a30d2b967b8be76a8d3c47cc8c"
"1f2381ac277974a30d2b967b8be76a8d3c47cc8c","13b131cc9c8356e6281b954f16159d4386e8ec1f"
"13b131cc9c8356e6281b954f16159d4386e8ec1f","144adbd393d1fe35eefe524e5883ded2705d5852"
"144adbd393d1fe35eefe524e5883ded2705d5852","06be49667d325d6833d85015d9e03d3f0d39b7dc"
"06be49667d325d6833d85015d9e03d3f0d39b7dc","cd1d30dce5f7b9bc6e4fd92a9ef4e278e17266b3"
"cd1d30dce5f7b9bc6e4fd92a9ef4e278e17266b3","73517b10d095b1c47cf9261b95b396164d17f411"
"73517b10d095b1c47cf9261b95b396164d17f411","f15bad25e2b4d49182b0956df5d719dae25f1ab7"
"f15bad25e2b4d49182b0956df5d719dae25f1ab7","6e8be4d8e9d5f3d6c912a668b56d9109ee80a77d"
"6e8be4d8e9d5f3d6c912a668b56d9109ee80a77d","eb89a866e328167bd576db038dc04512f1fe9f47"
"eb89a866e328167bd576db038dc04512f1fe9f47","1740263a9eaec1e4b41ab40df4ff5dfa58e571c2"
"1740263a9eaec1e4b41ab40df4ff5dfa58e571c2","e385ecdb34e90a1f245e92026e110d9e768f2fc9"
"e385ecdb34e90a1f245e92026e110d9e768f2fc9","e8df55ed91bd8edc2952ff21751a02fa89beebe4"
"e8df55ed91bd8edc2952ff21751a02fa89beebe4","dff557a9da0be23d9e03eda26a4dcc7c423a0418"
"dff557a9da0be23d9e03eda26a4dcc7c423a0418","630e1c51efe94a98d9dfe75d396f9cc76bcface8"
"630e1c51efe94a98d9dfe75d396f9cc76bcface8","61bee72dd30e700b7f217415bbfbbae58b10d1b5"
"61bee72dd30e700b7f217415bbfbbae58b10d1b5","29d7c719b47368bceb73a37df0085816bb71c2fa"
"29d7c719b47368bceb73a37df0085816bb71c2fa","7bf710a4ad7c80acc428673b10502f9ea10f2a6f"
"7bf710a4ad7c80acc428673b10502f9ea10f2a6f","4d3df8656ddd396294289c36a42f03077d17f8c5"
