"child","parent"
"2245a6e451dd9233eba0853dbc3d28eddfc9bf0f","0b2f66c53a16e11b37c7c52591365cea018dd0d0"
"0b2f66c53a16e11b37c7c52591365cea018dd0d0","60b579e8782764ec209fe09714647ac420922e4f"
"0b2f66c53a16e11b37c7c52591365cea018dd0d0","e26df987c0581eaf0a5ee1736b4a12b396a2331d"
"60b579e8782764ec209fe09714647ac420922e4f","c3ec6ed6ee07ade928d48aeabb76bd3467b310fe"
"e26df987c0581eaf0a5ee1736b4a12b396a2331d","c3ec6ed6ee07ade928d48aeabb76bd3467b310fe"
"e26df987c0581eaf0a5ee1736b4a12b396a2331d","2e2ca86f6744b9e6440dbe799587a2da3e81c193"
"2e2ca86f6744b9e6440dbe799587a2da3e81c193","0e6854024d4185312c0fdca791ef17bdcedba6f9"
"0e6854024d4185312c0fdca791ef17bdcedba6f9","a79059689774b91970a1ca55faa2a3d61789c967"
"0e6854024d4185312c0fdca791ef17bdcedba6f9","c3ec6ed6ee07ade928d48aeabb76bd3467b310fe"
"a79059689774b91970a1ca55faa2a3d61789c967","fa1df506c94017d192dd8f72082cc95b60b5e8cd"
"fa1df506c94017d192dd8f72082cc95b60b5e8cd","8ced49dd3522f376d6a2f5f8b6bb3476d5d72e16"
"fa1df506c94017d192dd8f72082cc95b60b5e8cd","176390c5b10466441c564f0e8344f776d9f3f6d1"
"c3ec6ed6ee07ade928d48aeabb76bd3467b310fe","cd65300873618a944041309b5a8368b63819f476"
"cd65300873618a944041309b5a8368b63819f476","c2762751ff20c027a38e7cb002776ef1c55fea23"
"c2762751ff20c027a38e7cb002776ef1c55fea23","a9fa55033c796366e17aa3699a3be0930f511c1f"
"c2762751ff20c027a38e7cb002776ef1c55fea23","dd1e71908c6682c70b9d361d3158309727be2beb"
"a9fa55033c796366e17aa3699a3be0930f511c1f","212e8f0965889e079a524ff2c28b4115a3ccd330"
"212e8f0965889e079a524ff2c28b4115a3ccd330","f8deab22f611df718f77a72fdcc2192bc094af7f"
"f8deab22f611df718f77a72fdcc2192bc094af7f","7d1d0117e34d3f7f35a09663e5da465b87c24c8e"
"7d1d0117e34d3f7f35a09663e5da465b87c24c8e","5d94e2662e54a5ce45d9e20138950461048888e3"
"5d94e2662e54a5ce45d9e20138950461048888e3","0baed9f7cab178f870ac0d2e643b2148145bd7a7"
"0baed9f7cab178f870ac0d2e643b2148145bd7a7","9cd03543094a9caa63c9f6e3298e934482295dd6"
"9cd03543094a9caa63c9f6e3298e934482295dd6","70698c3923d3575ccc3b70679cfa29b964f61794"
"70698c3923d3575ccc3b70679cfa29b964f61794","2bfaa5d8eac0743d21b6d9e2602e611f082b26fc"
"2bfaa5d8eac0743d21b6d9e2602e611f082b26fc","07de47ce726414b1533e8dbd3c798bea58a5ed4c"
"07de47ce726414b1533e8dbd3c798bea58a5ed4c","46062863f2fd0063488246dcece45ceeec0aba58"
"46062863f2fd0063488246dcece45ceeec0aba58","4ea0aeb0e263c3f02e6b9add73e7a68a654a238d"
"4ea0aeb0e263c3f02e6b9add73e7a68a654a238d","74e265aa2731911cb35ce85fe28911e3a462dad6"
"4ea0aeb0e263c3f02e6b9add73e7a68a654a238d","59639d2f611e43c82b8381eb5ad59e8fbf8239b9"
"74e265aa2731911cb35ce85fe28911e3a462dad6","4903a9ad3a024b0415425e42bfa3137d3d52c260"
"dd1e71908c6682c70b9d361d3158309727be2beb","59639d2f611e43c82b8381eb5ad59e8fbf8239b9"
"59639d2f611e43c82b8381eb5ad59e8fbf8239b9","4903a9ad3a024b0415425e42bfa3137d3d52c260"
"59639d2f611e43c82b8381eb5ad59e8fbf8239b9","f0b24beca1f7d6169a167785b3866d2984998d2b"
"f0b24beca1f7d6169a167785b3866d2984998d2b","b2c06336cc2866b65469ee6d046f634a9f86786b"
"b2c06336cc2866b65469ee6d046f634a9f86786b","3b3acc86372fab8a9d203ec3ef85b5d3f33d8c42"
"b2c06336cc2866b65469ee6d046f634a9f86786b","4903a9ad3a024b0415425e42bfa3137d3d52c260"
"4903a9ad3a024b0415425e42bfa3137d3d52c260","5d3e9e0edc4988e7a6df574b4e1263fc0924b6af"
"5d3e9e0edc4988e7a6df574b4e1263fc0924b6af","f7bf7cbfaa3e9e4d4c019b5edf352cf906e802f9"
"f7bf7cbfaa3e9e4d4c019b5edf352cf906e802f9","3211ec39e70e43d9b608c0635887287ed5048aa7"
"3211ec39e70e43d9b608c0635887287ed5048aa7","6a6f9b72bd39abd0cabab3182986d7cfbe7e192d"
"6a6f9b72bd39abd0cabab3182986d7cfbe7e192d","a1d9497c2dc764ce04fad7ff3f3d3ead90ed4d9a"
"a1d9497c2dc764ce04fad7ff3f3d3ead90ed4d9a","3820eab883cb4c350dcbe9a4b7ba5cae17f52eb5"
"3820eab883cb4c350dcbe9a4b7ba5cae17f52eb5","2edd53432bb926bf880a651ebc47373eba2bca08"
"2edd53432bb926bf880a651ebc47373eba2bca08","26a3af390439d02fc9fb6ad33c39d3c98cc3d2ee"
"26a3af390439d02fc9fb6ad33c39d3c98cc3d2ee","4ffa0525c467ee08e14d6698bf951d7730145536"
"4ffa0525c467ee08e14d6698bf951d7730145536","475a848d6f4c93beebc8e121d7160f0b5044eba9"
"475a848d6f4c93beebc8e121d7160f0b5044eba9","6ba791e6ba0a8780b2d332ab6e080041263472d7"
"6ba791e6ba0a8780b2d332ab6e080041263472d7","443e91a5459e8d7f23e0fa6e48e2b5673d77c76a"
"6ba791e6ba0a8780b2d332ab6e080041263472d7","1d85500c99dba1ff4a9fae3675c766f310ed1caf"
"443e91a5459e8d7f23e0fa6e48e2b5673d77c76a","5248566622f56d7228b0c950205917a2b9a261d8"
"1d85500c99dba1ff4a9fae3675c766f310ed1caf","5248566622f56d7228b0c950205917a2b9a261d8"
"1d85500c99dba1ff4a9fae3675c766f310ed1caf","fb8fb8a23e3ee0ec92c5d78a599f2405e187d786"
"5248566622f56d7228b0c950205917a2b9a261d8","66bb235f9b0e79f3e0c2e641cd13fc9a23ac5d11"
"fb8fb8a23e3ee0ec92c5d78a599f2405e187d786","f69e367e6553a8d115377ccf503a85327b74f585"
"66bb235f9b0e79f3e0c2e641cd13fc9a23ac5d11","f69e367e6553a8d115377ccf503a85327b74f585"
"f69e367e6553a8d115377ccf503a85327b74f585","636c7667e60a14cc18f4735958fd766922486ae6"
